date,runoff,soilstore,snowpack,meltwater,T,P,PET
1993-05-20,5.164609289422877,543.1920206549677,0.0,0.0,14.005800370903671,0.2113799460509953,3.017209379281683
1993-05-21,4.813834996638774,541.0474255850959,0.0,0.0,13.328466347605286,0.0666760107123434,2.9223701770284265
1993-05-22,4.495532632874236,539.3477565676859,0.0,0.0,10.766711533153623,0.5980885903931332,2.524506978251892
1993-05-23,4.199890948622505,538.5194093459993,0.0,0.0,2.013146575746987,0.0,1.127486715896788
1993-05-24,3.908449880056141,537.8786764423977,0.0,0.0,0.4118418706214584,0.0,0.8734610764078571
1993-05-25,3.6371249918334687,536.6535009164724,0.0,0.0,5.321586235114353,0.0,1.6721755752929657
1993-05-26,3.385131496327242,535.4221469423123,0.0,0.0,5.418969452897386,0.0255779858303257,1.694081681661907
1993-05-27,3.1512053785031844,534.8121256556425,0.0,0.0,0.1821381118290901,0.02399311208183,0.8455319735126509
1993-05-28,2.9819911217098736,534.4688543891152,0.0,0.0,2.922137233286662,2.162884480638979,1.2969174455363186
1993-05-29,2.8979023648914706,534.4952573329225,0.0,0.0,1.4673334778991602,2.8694756153398844,1.0621398866103504
1993-05-30,2.810183749213332,533.9960114669399,0.0,0.0,2.913678417705512,1.6151236875894914,1.3036440945161505
1993-05-31,2.658295429551917,533.1603933374563,0.0,0.0,1.9533663311841,0.0,1.1487822880572995
1993-06-01,2.4743274764939125,532.1075380907852,0.0,0.0,3.828476975218905,0.0334370110415614,1.4626091451844885
1993-06-02,2.321485395409685,531.4582086241369,0.0,0.0,2.291323974240413,0.8106085836709852,1.2111188384615428
1993-06-03,2.2071618493559595,530.7357654145932,0.0,0.0,3.644039908176296,1.1303480761279077,1.4393720860240522
1993-06-04,2.083778492812878,529.2641971444632,0.0,0.0,7.195497611523308,0.0,2.0354945804142788
1993-06-05,1.9388154501342671,527.66574903573,0.0,0.0,8.254737747274987,0.0,2.2171440776565703
1993-06-06,1.8038472721215149,525.8175661554615,0.0,0.0,10.34053442801661,0.0,2.5713069787596843
